Designator,Mid X,Mid Y,Rotation,Layer
A1,135.535,-97.685,0.0,top
C1,139.5,-102.5,90.0,top
C2,130.766377,-90.233623,45.0,top
C3,139.6,-106.5,270.0,top
C4,131.6,-106.5375,90.0,top
C5,139.425,-76.0,0.0,top
C6,132.5975,-81.9125,270.0,top
C7,132.635,-86.375,90.0,top
D1,148.5,-92.4,270.0,top
D2,131.5,-78.5,0.0,top
D3,135.475,-78.5,0.0,top
J1,148.235,-116.525,0.0,top
J2,135.5,-117.0,0.0,top
R1,149.0,-102.0,90.0,top
R2,146.5,-102.0,90.0,top
R3,139.5,-110.0,180.0,top
R4,135.5,-76.0,0.0,top
R5,131.5,-76.0,0.0,top
SW1,148.125,-108.0,90.0,top
U1,135.5,-95.5,225.0,top
U2,137.5,-83.5,0.0,top
Y1,135.55,-106.65,180.0,top
